Year,LSOA Code,Population
2014,E01012607,1492
2014,E01012608,1926
2014,E01012633,1544
2014,E01012634,1444
2014,E01012635,1685
2014,E01012636,1428
2014,E01012581,1234
2014,E01012582,1597
2014,E01012583,1592
2014,E01012587,2012
2014,E01012588,2105
2014,E01012574,1446
2014,E01012577,1893
2014,E01012578,1963
2014,E01012605,2140
2014,E01012606,1591
2014,E01012579,1610
2014,E01012580,2058
2014,E01012642,1784
2014,E01012645,2034
2014,E01012585,1595
2014,E01012586,1622
2014,E01012656,1707
2014,E01012657,2041
2014,E01012658,1761
2014,E01012629,1269
2014,E01012631,1368
2014,E01012643,1708
2014,E01012644,2514
2014,E01012655,1950
2014,E01012571,1612
2014,E01012572,1533
2014,E01012573,1643
2014,E01012575,1275
2014,E01012630,2366
2014,E01012576,1931
2014,E01012637,1602
2014,E01012638,1565
2014,E01012639,1722
2014,E01012640,1717
2014,E01012641,1691
2014,E01012595,2071
2014,E01012596,1754
2014,E01012622,1491
2014,E01012623,1491
2014,E01012624,1433
2014,E01012625,1638
2014,E01012584,1605
2014,E01012609,1512
2014,E01012610,1246
2014,E01012611,1006
2014,E01012612,1400
2014,E01012613,1327
2014,E01012600,1417
2014,E01012601,1576
2014,E01012602,1559
2014,E01012603,1619
2014,E01012604,1620
2014,E01012632,1979
2014,E01012594,1526
2014,E01012618,1512
2014,E01012619,1417
2014,E01012620,1343
2014,E01012621,1380
2014,E01012593,1737
2014,E01012597,1775
2014,E01012598,3062
2014,E01012599,1269
2014,E01012589,1384
2014,E01012590,1312
2014,E01012591,1523
2014,E01012648,1167
2014,E01012652,1521
2014,E01012617,1344
2014,E01012646,1486
2014,E01012647,1559
2014,E01012650,1374
2014,E01012649,1357
2014,E01012651,1748
2014,E01012653,1313
2014,E01012654,1711
2014,E01012614,1643
2014,E01012615,1463
2014,E01012616,1709
2014,E01012659,1354
2014,E01012660,1148
2014,E01012661,1465
2014,E01012592,1929
2014,E01012628,1202
2014,E01032485,1785
2014,E01032486,1384
2014,E01012663,1586
2014,E01012664,1671
2014,E01012665,1746
2014,E01012716,1390
2014,E01012719,1404
2014,E01012662,1396
2014,E01012703,1517
2014,E01012704,1911
2014,E01012706,1630
2014,E01012717,1640
2014,E01012666,1424
2014,E01012667,1608
2014,E01012668,1593
2014,E01012669,1856
2014,E01012718,1626
2014,E01012690,1617
2014,E01012691,1968
2014,E01012692,1697
2014,E01012705,1638
2014,E01012723,1454
2014,E01012693,1579
2014,E01012711,1397
2014,E01012747,1512
2014,E01012750,1715
2014,E01012681,1571
2014,E01012683,1416
2014,E01012748,1516
2014,E01012749,1597
2014,E01012707,1256
2014,E01012720,1620
2014,E01012721,1756
2014,E01012724,1396
2014,E01012678,935
2014,E01012679,1472
2014,E01012680,1456
2014,E01012682,1434
2014,E01012684,1491
2014,E01012676,1382
2014,E01012677,1392
2014,E01012708,1290
2014,E01012709,1631
2014,E01012710,1268
2014,E01012722,1281
2014,E01012673,1353
2014,E01012675,1561
2014,E01012735,1353
2014,E01012736,1350
2014,E01012737,1429
2014,E01012670,1164
2014,E01012733,1037
2014,E01012734,1363
2014,E01012738,1250
2014,E01012739,1387
2014,E01012742,1129
2014,E01012712,1626
2014,E01012713,1914
2014,E01012715,1596
2014,E01012740,1552
2014,E01012741,1348
2014,E01012671,1398
2014,E01012672,1214
2014,E01012674,1588
2014,E01012751,1462
2014,E01012686,1479
2014,E01012687,1445
2014,E01012688,1197
2014,E01012689,1244
2014,E01012714,1685
2014,E01012695,1365
2014,E01012743,1702
2014,E01012744,1646
2014,E01012745,1680
2014,E01012746,1900
2014,E01012685,1544
2014,E01012694,1315
2014,E01012696,1494
2014,E01012697,1373
2014,E01012698,1615
2014,E01012726,1684
2014,E01012728,1572
2014,E01012752,1291
2014,E01012753,1152
2014,E01012754,1135
2014,E01012755,1422
2014,E01012701,1580
2014,E01012729,1579
2014,E01012730,1705
2014,E01012731,1541
2014,E01012732,1678
2014,E01012699,1756
2014,E01012700,1817
2014,E01012702,1427
2014,E01012725,1457
2014,E01012727,1609
2014,E01024859,1550
2014,E01024861,1118
2014,E01024862,1501
2014,E01024891,1683
2014,E01024892,1456
2014,E01024894,1469
2014,E01024893,1572
2014,E01024896,1302
2014,E01024897,1430
2014,E01024898,1532
2014,E01024856,1659
2014,E01024875,1528
2014,E01024876,1391
2014,E01024877,1612
2014,E01024878,1601
2014,E01024895,1366
2014,E01024883,1511
2014,E01024884,1678
2014,E01024885,1677
2014,E01024886,1407
2014,E01024889,1232
2014,E01024890,1495
2014,E01024879,1267
2014,E01024880,1497
2014,E01024912,1405
2014,E01024913,1306
2014,E01024914,1430
2014,E01024881,1476
2014,E01024882,1469
2014,E01024902,1491
2014,E01024911,1766
2014,E01024855,1454
2014,E01024857,1630
2014,E01024858,1332
2014,E01024864,1510
2014,E01024863,1427
2014,E01024865,1453
2014,E01024866,1707
2014,E01024867,1455
2014,E01024860,1242
2014,E01024868,1204
2014,E01024869,1396
2014,E01024870,1190
2014,E01024872,1391
2014,E01024899,1602
2014,E01024900,1696
2014,E01024907,1147
2014,E01024908,1109
2014,E01024909,1508
2014,E01024874,1145
2014,E01024887,1499
2014,E01024888,1686
2014,E01024901,1734
2014,E01024904,1628
2014,E01024906,1712
2014,E01024910,1345
2014,E01024871,1357
2014,E01024873,1337
2014,E01024903,1245
2014,E01024905,1176
2014,E01024951,1152
2014,E01024952,1348
2014,E01024953,1384
2014,E01024954,1596
2014,E01024921,2060
2014,E01024978,1372
2014,E01024979,1369
2014,E01024980,1453
2014,E01024946,1186
2014,E01024947,1366
2014,E01024955,1466
2014,E01024956,1435
2014,E01024957,1486
2014,E01024958,1375
2014,E01024948,1567
2014,E01024949,2922
2014,E01024950,1420
2014,E01024977,2275
2014,E01024967,1236
2014,E01024968,1991
2014,E01024969,1323
2014,E01024970,1339
2014,E01024971,1297
2014,E01024972,1182
2014,E01024929,1295
2014,E01024930,1453
2014,E01024931,1469
2014,E01024932,1030
2014,E01024933,1368
2014,E01024937,1495
2014,E01024964,1440
2014,E01024974,1553
2014,E01024975,3105
2014,E01024976,1588
2014,E01024919,3981
2014,E01024920,1926
2014,E01024934,1524
2014,E01024935,1408
2014,E01024925,1713
2014,E01024926,2169
2014,E01024927,1774
2014,E01024928,1461
2014,E01024936,1560
2014,E01024938,2013
2014,E01024939,1936
2014,E01024940,1874
2014,E01024941,1606
2014,E01024923,1217
2014,E01024924,1463
2014,E01024963,1549
2014,E01024965,1433
2014,E01024966,1671
2014,E01024942,1740
2014,E01024943,2320
2014,E01024944,1926
2014,E01024945,3167
2014,E01024922,1469
2014,E01024959,1728
2014,E01024960,1585
2014,E01024961,1649
2014,E01024962,1551
2014,E01024915,2332
2014,E01024916,1848
2014,E01024917,1716
2014,E01024918,1742
2014,E01024973,2176
2014,E01024993,1449
2014,E01025026,1326
2014,E01025027,1858
